/home/smdupor
c16
Fri Oct  1 20:09:52 EDT 2021
Running 84m large dataset on 16 CPU cores
 -----------------------------------------------------
| MPI Implementation                                  | 
 -----------------------------------------------------
| File Name                                           | 
 -----------------------------------------------------
| /mnt/beegfs/smdupor/84m.txt                         | 
 -----------------------------------------------------
| Number of Threads                                   | 
 -----------------------------------------------------
| 4                                                   | 
 -----------------------------------------------------
 -----------------------------------------------------
| New graph calculating size                          | 
 -----------------------------------------------------
 -----------------------------------------------------
| New Graph Created                                   | 
 -----------------------------------------------------
| 5.114272                                            | 
 -----------------------------------------------------
 -----------------------------------------------------
| Populate Graph with edges                           | 
 -----------------------------------------------------
 -----------------------------------------------------
| Time load edges to graph (Seconds)                  | 
 -----------------------------------------------------
| 5.175920                                            | 
 -----------------------------------------------------
 -----------------------------------------------------
| MPI RADIX Sort Graph                                | 
 -----------------------------------------------------
*** START Radix Sort Edges By Source MPI*** 
*** START Radix Sort Edges By Source MPI*** 
 -----------------------------------------------------
| Time Sorting (Seconds)                              | 
 -----------------------------------------------------*************** WORKER PROCESS 1 EXITING

| 0.165849                                            | 
 -----------------------------------------------------
 -----------------------------------------------------
| Map vertices to Edges                               | 
 -----------------------------------------------------
 -----------------------------------------------------
| Time Mapping (Seconds)                              | 
 -----------------------------------------------------
| 0.024589                                            | 
 -----------------------------------------------------
 *****************************************************
 -----------------------------------------------------
| BFS Algorithm (PUSH/PULL)                           | 
 -----------------------------------------------------
| PUSH                                                | 
 -----------------------------------------------------
| ROOT/SOURCE                                         | 
 -----------------------------------------------------
| 1                                                   | 
 -----------------------------------------------------
 -----------------------------------------------------
| Starting Breadth First Search (PUSH)                | 
 -----------------------------------------------------
| 1                                                   | 
 -----------------------------------------------------
| Iteration       | Nodes           | Time (Seconds)  | 
 -----------------------------------------------------
| TD 0            | 1               | 0.000001        | 
| TD 1            | 3               | 0.000006        | 
| TD 2            | 5               | 0.000000        | 
| TD 3            | 10              | 0.000002        | 
| TD 4            | 15              | 0.000002        | 
| TD 5            | 23              | 0.000002        | 
| TD 6            | 25              | 0.000003        | 
| TD 7            | 28              | 0.000002        | 
| TD 8            | 31              | 0.000002        | 
| TD 9            | 37              | 0.000003        | 
| TD 10           | 44              | 0.000005        | 
| TD 11           | 48              | 0.000005        | 
| TD 12           | 46              | 0.000004        | 
| TD 13           | 57              | 0.000004        | 
| TD 14           | 56              | 0.000005        | 
| TD 15           | 53              | 0.000004        | 
| TD 16           | 63              | 0.000005        | 
| TD 17           | 87              | 0.000005        | 
| TD 18           | 103             | 0.000008        | 
| TD 19           | 130             | 0.000010        | 
| TD 20           | 169             | 0.000015        | 
| TD 21           | 170             | 0.000013        | 
| TD 22           | 217             | 0.000014        | 
| TD 23           | 236             | 0.000020        | 
| TD 24           | 268             | 0.000020        | 
| TD 25           | 315             | 0.000024        | 
| TD 26           | 348             | 0.000025        | 
| TD 27           | 352             | 0.000026        | 
| TD 28           | 358             | 0.000030        | 
| TD 29           | 362             | 0.000027        | 
| TD 30           | 361             | 0.000028        | 
| TD 31           | 392             | 0.000030        | 
| TD 32           | 414             | 0.000030        | 
| TD 33           | 439             | 0.000036        | 
| TD 34           | 426             | 0.000030        | 
| TD 35           | 421             | 0.000031        | 
| TD 36           | 470             | 0.000038        | 
| TD 37           | 531             | 0.000038        | 
| TD 38           | 579             | 0.000046        | 
| TD 39           | 642             | 0.000046        | 
| TD 40           | 719             | 0.000048        | 
| TD 41           | 764             | 0.000056        | 
| TD 42           | 799             | 0.000057        | 
| TD 43           | 881             | 0.000062        | 
| TD 44           | 927             | 0.000068        | 
| TD 45           | 987             | 0.000074        | 
| TD 46           | 1128            | 0.000078        | 
| TD 47           | 1201            | 0.000088        | 
